ErrorMessage											ErrorCode


E_SUBSCRIBER_DATA_NOT_FOUND								E_OB_01
E_SUBSCRIBER_STATUS_DATA_NOT_FOUND						E_OB_02
E_SUBSCRIBER_NOT_ONBOARDED								E_OB_03
E_SUBSCRIBER_DEVICE_DATA_NOT_FOUND						E_OB_04

E_SUBSCRIBER_RA_DATA_NOT_FOUND							E_RA_11
E_SUBSCRIBER_CERTIFICATES_ARE_ACTIVE					E_RA_12
E_SUBSCRIBER_CERTIFICATES_ARE_REVOKED					E_RA_13
E_SUBSCRIBER_CERTIFICATES_ARE_EXPIRED					E_RA_14
E_SUBSCRIBER_ISSUE_SIGNING_CERTIFICATE_FAILED			E_RA_15
E_SUBSCRIBER_ISSUE_AUTHENTICATION_CERTIFICATE_FAILED	E_RA_16 
E_TRANSACTION_TYPE_NOT_FOUND							E_RA_17
E_REQUEST_DATA_IS_NOT_VALID								E_RA_18
E_RA_SERVER_NOT_RUNNING									E_RA_100
E_RA_SUBSCRIBER_COMPLETE_DETAILS_NOT_FOUND				E_RA_101
		
E_RA_POST_REQUEST_FAILED								E_RA_200
